OBJECTID,Codigo_Muniicipio,Departamento,Municipio,Periodo_1980_1988,Periodo_1989_1996,Periodo_1997_2004,Periodo_2005_2014,Descripcion,Periodo,Fuente,Fecha_Actualizacion,Total_1989_2014,Shape_Length,Shape_Area
185,13744,BOLÍVAR,SIMITÍ,96,399,8219,7663,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,16377,2.57195011748242,0.111065755859746
186,13760,BOLÍVAR,SOPLAVIENTO,0,6,136,124,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,266,0.54869756227565,0.00764150068095239
187,13780,BOLÍVAR,TALAIGUA NUEVO,2,51,299,306,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,658,0.91409553784573,0.0205151904285537
188,13810,BOLÍVAR,TIQUISIO,210,783,19348,5364,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,25705,1.60994232702872,0.0626418223957868
189,13836,BOLÍVAR,TURBACO,0,112,1801,971,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2884,0.688469892565311,0.0166644883907973
190,13838,BOLÍVAR,TURBANÁ,0,156,265,194,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,615,1.03201015288503,0.0157648562511417
191,13873,BOLÍVAR,VILLANUEVA,7,51,4657,1240,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,5955,0.6741352650944,0.0113182431427886
192,13894,BOLÍVAR,ZAMBRANO,43,536,15569,1690,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,17838,0.817799885697075,0.0254689380785435
193,13300,BOLÍVAR,HATILLO DE LOBA,9,29,311,311,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,660,1.17836833336078,0.0159746942619234
194,13650,BOLÍVAR,SAN FERNANDO,2,40,191,276,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,509,1.11682651091819,0.0260994829057362
195,13430,BOLÍVAR,MAGANGUÉ,90,636,6489,6926,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,14141,2.23269101077034,0.0929433923467123
196,15001,BOYACÁ,TUNJA,3,3,133,116,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,255,0.572326860420306,0.00976624807856369
197,15022,BOYACÁ,ALMEIDA,0,0,15,23,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,38,0.348469204483503,0.00470175865913672
198,15047,BOYACÁ,AQUITANIA,0,75,395,290,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,760,1.80031146583126,0.0768435036445183
199,15051,BOYACÁ,ARCABUCO,0,0,2,0,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2,0.752708972046233,0.0112567377613687
200,15087,BOYACÁ,BELÉN,0,0,52,43,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,95,0.629348882238584,0.0133149202288938
201,15090,BOYACÁ,BERBEO,5,43,56,22,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,126,0.429174258831458,0.00473084990047221
202,15092,BOYACÁ,BETÉITIVA,0,3,7,8,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,18,0.47381843714929,0.00831780959312436
203,15097,BOYACÁ,BOAVITA,0,0,67,36,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,103,0.659782165996926,0.0118677431105894
204,15104,BOYACÁ,BOYACÁ,13,12,121,73,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,219,0.325613951627622,0.00391802184908902
205,15106,BOYACÁ,BRICEÑO,19,6,29,32,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,86,0.484975252319647,0.00527325522152093
206,15109,BOYACÁ,BUENAVISTA,2,0,27,94,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,123,0.467781128133245,0.0089893176346711
207,15114,BOYACÁ,BUSBANZÁ,0,0,0,4,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,4,0.204497975691909,0.00206924119170224
208,15131,BOYACÁ,CALDAS,0,0,9,11,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,20,0.402175118880865,0.00644484301128449
209,15135,BOYACÁ,CAMPOHERMOSO,1,46,302,141,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,490,0.896145704433153,0.0243529763049068
210,15162,BOYACÁ,CERINZA,3,1,12,10,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,26,0.334001146816676,0.00519056964663931
211,15172,BOYACÁ,CHINAVITA,0,4,68,45,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,117,0.526596397906779,0.0111218756889098
212,15176,BOYACÁ,CHIQUINQUIRÁ,3,14,102,240,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,359,0.864134276708148,0.0134686209024032
213,15183,BOYACÁ,CHITA,17,54,410,594,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1075,1.36484707407282,0.0552898649673054
214,15185,BOYACÁ,CHITARAQUE,0,10,22,99,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,131,0.579277172540038,0.012946524487402
215,15187,BOYACÁ,CHIVATÁ,0,0,0,7,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,7,0.42526660910536,0.00404177655917053
216,15189,BOYACÁ,CIÉNEGA,0,0,6,0,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,6,0.385304475122579,0.00440452711068297
217,15204,BOYACÁ,CÓMBITA,0,4,8,8,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,20,0.733788941574558,0.0118575339326145
218,15212,BOYACÁ,COPER,0,11,39,42,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,92,0.639954012877197,0.0122292129475334
219,15215,BOYACÁ,CORRALES,0,0,0,0,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0,0.409898256014476,0.00496630548553978
220,15377,BOYACÁ,LABRANZAGRANDE,5,164,571,431,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1171,1.28569389532152,0.0474073553432584
221,15380,BOYACÁ,LA CAPILLA,0,0,16,17,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,33,0.294775725010723,0.00464258392104704
222,15401,BOYACÁ,LA VICTORIA,7,18,7,25,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,57,0.280691814884938,0.00228545737953313
223,15403,BOYACÁ,LA UVITA,0,12,34,39,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,85,0.635572455189365,0.0131930302287298
224,15542,BOYACÁ,PESCA,0,11,54,60,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,125,0.915418048255985,0.0214635408407944
225,15550,BOYACÁ,PISBA,14,24,224,130,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,392,1.01650146352249,0.0379277841059386
226,15572,BOYACÁ,PUERTO BOYACÁ,395,270,842,2729,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,4236,2.40391521644972,0.123609862437233
227,15580,BOYACÁ,QUÍPAMA,14,45,56,226,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,341,0.830110612145497,0.0136562717242535
228,15755,BOYACÁ,SOCOTÁ,2,22,213,378,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,615,1.1987640869289,0.0492586330227421
229,15757,BOYACÁ,SOCHA,10,3,110,95,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,218,0.575363712854244,0.0122557820043083
230,15759,BOYACÁ,SOGAMOSO,4,5,202,216,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,427,0.719792353459285,0.0169965836263284
231,15761,BOYACÁ,SOMONDOCO,0,0,26,43,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,69,0.370385058998263,0.00479349986330771
232,15842,BOYACÁ,ÚMBITA,0,0,38,38,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,76,0.549025807322767,0.0119147903171321
233,15861,BOYACÁ,VENTAQUEMADA,0,0,7,21,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,28,0.667857696834635,0.0130542953775841
234,15879,BOYACÁ,VIRACACHÁ,0,0,1,5,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,6,0.341267745944534,0.00510551854983003
235,15897,BOYACÁ,ZETAQUIRA,0,17,101,78,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,196,0.898103514383467,0.0205122325582686
236,15218,BOYACÁ,COVARACHÍA,1,3,118,66,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,188,0.487024843992534,0.00836979713498767
237,15224,BOYACÁ,CUCAITA,0,0,0,16,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,16,0.29195894030955,0.00343766442007263
238,15226,BOYACÁ,CUÍTIVA,0,0,4,11,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,15,0.307677719197136,0.0036006702702389
239,15232,BOYACÁ,CHÍQUIZA,0,0,0,6,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,6,0.507900025133963,0.00950923321761016
240,15236,BOYACÁ,CHIVOR,0,11,154,94,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,259,0.566870187363727,0.00885899653842833
241,15238,BOYACÁ,DUITAMA,0,1,66,187,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,254,0.959491539966507,0.0191046635815413
242,15244,BOYACÁ,EL COCUY,11,77,125,83,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,296,0.71596273491881,0.0194635639745418
243,15248,BOYACÁ,EL ESPINO,0,0,140,43,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,183,0.338906921668244,0.00566938649932079
244,15272,BOYACÁ,FIRAVITOBA,0,0,9,0,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,9,0.504074495438986,0.00892241871622328
245,15276,BOYACÁ,FLORESTA,0,0,4,4,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,8,0.414792863486891,0.00719332757742677
246,15293,BOYACÁ,GACHANTIVÁ,0,0,10,0,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,10,0.49765789996672,0.00719727563617852
247,15296,BOYACÁ,GÁMEZA,0,0,20,32,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,52,0.634607758008421,0.0100928578215485
248,15299,BOYACÁ,GARAGOA,0,5,93,108,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,206,0.610179730715954,0.0157788906484828
249,15317,BOYACÁ,GUACAMAYAS,0,0,35,23,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,58,0.299984588357709,0.00470924756749078
250,15322,BOYACÁ,GUATEQUE,0,15,79,80,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,174,0.287084103226187,0.00294665507454912
251,15325,BOYACÁ,GUAYATÁ,0,4,70,59,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,133,0.428038623904889,0.00814992567283704
252,15362,BOYACÁ,IZA,0,0,17,6,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,23,0.274831868547601,0.00279434588396036
253,15367,BOYACÁ,JENESANO,0,0,6,25,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,31,0.444685249944638,0.00481379076210706
254,15368,BOYACÁ,JERICÓ,3,24,69,121,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,217,0.523156964124045,0.0107553691146014
255,15407,BOYACÁ,VILLA DE LEYVA,0,0,1,0,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1,0.631933631526022,0.0103322987446853
256,15425,BOYACÁ,MACANAL,0,0,103,59,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,162,0.692334760616349,0.0163022843841556
257,15442,BOYACÁ,MARIPÍ,18,43,89,265,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,415,0.716032250872491,0.013114428550691
258,15455,BOYACÁ,MIRAFLORES,1,96,332,154,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,583,0.73517067569389,0.0210959302713196
259,15464,BOYACÁ,MONGUA,0,7,123,67,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,197,0.953367191684234,0.0294022550537413
260,15466,BOYACÁ,MONGUÍ,0,0,7,5,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,12,0.359970026576176,0.00561820701329667
261,15469,BOYACÁ,MONIQUIRÁ,9,0,61,180,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,250,0.874908092690806,0.0178224974900996
262,15476,BOYACÁ,MOTAVITA,0,0,5,0,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,5,0.364005913512776,0.00490012484197573
263,15480,BOYACÁ,MUZO,103,180,191,383,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,857,0.689074411333367,0.0112519022146241
264,15491,BOYACÁ,NOBSA,5,0,8,29,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,42,0.368770650987061,0.00452339958320204
265,15494,BOYACÁ,NUEVO COLÓN,0,0,1,27,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,28,0.357775628487268,0.00419283053697219
266,15500,BOYACÁ,OICATÁ,0,5,0,0,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,5,0.337624866804185,0.0049210054299837
267,15507,BOYACÁ,OTANCHE,100,91,325,943,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1459,1.30904874120083,0.0387827102194915
268,15511,BOYACÁ,PACHAVITA,0,0,2,10,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,12,0.34926157860086,0.00543856814805459
269,15514,BOYACÁ,PÁEZ,27,153,1188,132,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1500,0.963628775033079,0.0276429436266342
270,15516,BOYACÁ,PAIPA,0,0,29,18,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,47,1.06962213007822,0.0249059798188708
271,15518,BOYACÁ,PAJARITO,15,30,367,271,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,683,0.855038807430663,0.0255788507762739
272,15522,BOYACÁ,PANQUEBA,0,1,57,12,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,70,0.331656348271682,0.00324389968103129
273,15531,BOYACÁ,PAUNA,38,57,149,329,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,573,0.939745219104405,0.020622617321897
274,15533,BOYACÁ,PAYA,10,66,141,228,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,445,1.14765183330349,0.0361929984034273
275,15537,BOYACÁ,PAZ DE RÍO,0,8,47,11,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,66,0.518166291398808,0.0100169585947619
276,15599,BOYACÁ,RAMIRIQUÍ,0,0,57,69,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,126,0.766956897446532,0.0102518284705864
277,15600,BOYACÁ,RÁQUIRA,0,0,5,4,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,9,0.781180070094433,0.0180066165741709
278,15621,BOYACÁ,RONDÓN,0,0,14,38,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,52,0.681104143547206,0.016833372980505
279,15632,BOYACÁ,SABOYÁ,0,0,11,37,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,48,0.792257111530807,0.0202977191886048
280,15638,BOYACÁ,SÁCHICA,0,0,2,4,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,6,0.386354549453046,0.00521706467886472
281,15646,BOYACÁ,SAMACÁ,0,3,17,25,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,45,0.663348845048997,0.0136741953678833
282,15660,BOYACÁ,SAN EDUARDO,0,103,34,41,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,178,0.434471028394182,0.00892678699872654
283,15664,BOYACÁ,SAN JOSÉ DE PARE,1,0,35,31,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,67,0.362712231281224,0.00607642809878025
284,15667,BOYACÁ,SAN LUIS DE GACENO,0,47,287,229,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,563,1.14831954372362,0.0382916624525877
285,15673,BOYACÁ,SAN MATEO,0,29,336,93,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,458,0.534964135804239,0.0101185762791079
286,15676,BOYACÁ,SAN MIGUEL DE SEMA,0,2,0,4,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,6,0.464967817847975,0.00767101534511857
287,15681,BOYACÁ,SAN PABLO DE BORBUR,61,52,152,387,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,652,0.642192077621331,0.0159917950011658
288,15686,BOYACÁ,SANTANA,0,7,40,90,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,137,0.320472349280852,0.00555103539127059
289,15690,BOYACÁ,SANTA MARÍA,2,42,66,102,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,212,1.04996294444115,0.0252388215707808
290,15693,BOYACÁ,SANTA ROSA DE VITERBO,0,0,16,28,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,44,0.726840247162725,0.00952692584707588
291,15696,BOYACÁ,SANTA SOFÍA,0,6,0,11,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,17,0.421030187163041,0.00633165592918648
292,15720,BOYACÁ,SATIVANORTE,0,1,40,33,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,74,0.703267975383029,0.0131711238066624
293,15723,BOYACÁ,SATIVASUR,0,0,7,14,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,21,0.455346953562769,0.00448083153140752
294,15740,BOYACÁ,SIACHOQUE,0,1,0,10,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,11,0.483355012476457,0.00972716856122701
295,15753,BOYACÁ,SOATÁ,0,11,71,47,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,129,0.501444857794784,0.0100541414807602
296,15762,BOYACÁ,SORA,0,0,3,0,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,3,0.299866750942407,0.00390451106264936
